"year","r_hh_u_inc","r_hh_w_inc","r_hh_w_inc_se","r_cl_u_inc_mean","r_cl_w_inc_mean","r_cl_w_inc_mean_se"
"ALL",0.432,0.43,0.008,0.324,0.31,0.01
"1969",0.401,0.387,0.012,0.316,0.295,0.016
"1970",0.378,0.371,0.009,0.29,0.27,0.011
"1971",0.386,0.375,0.01,0.295,0.262,0.01
"1972",0.382,0.371,0.009,0.295,0.263,0.01
"1973",0.377,0.368,0.009,0.285,0.258,0.008
"1974",0.38,0.375,0.009,0.286,0.26,0.009
"1975",0.379,0.375,0.008,0.291,0.268,0.008
"1976",0.38,0.375,0.008,0.289,0.264,0.008
"1977",0.393,0.381,0.008,0.302,0.271,0.008
"1978",0.386,0.375,0.007,0.292,0.264,0.006
"1979",0.385,0.378,0.006,0.29,0.265,0.006
"1980",0.389,0.386,0.007,0.288,0.265,0.007
"1981",0.405,0.41,0.013,0.302,0.282,0.01
"1982",0.406,0.399,0.006,0.304,0.278,0.008
"1983",0.412,0.399,0.006,0.309,0.283,0.006
"1984",0.419,0.406,0.006,0.316,0.292,0.006
"1985",0.421,0.408,0.008,0.316,0.29,0.008
"1986",0.424,0.417,0.008,0.32,0.301,0.008
"1987",0.427,0.422,0.009,0.325,0.309,0.011
"1988",0.435,0.433,0.012,0.334,0.324,0.019
"1989",0.434,0.437,0.011,0.333,0.327,0.018
"1990",0.441,0.439,0.011,0.337,0.326,0.013
"1991",0.439,0.433,0.007,0.333,0.317,0.008
"1992",0.447,0.441,0.009,0.334,0.32,0.012
"1993",0.458,0.448,0.005,0.336,0.322,0.007
"1994",0.477,0.473,0.007,0.352,0.351,0.013
"1995",0.47,0.469,0.009,0.348,0.343,0.01
"1996",0.462,0.457,0.006,0.343,0.336,0.009
"1997",0.449,0.449,0.006,0.336,0.326,0.008
"1999",0.453,0.461,0.008,0.344,0.344,0.013
"2001",0.468,0.476,0.011,0.357,0.357,0.012
"2003",0.456,0.461,0.007,0.339,0.337,0.01
"2005",0.472,0.49,0.015,0.351,0.35,0.013
"2007",0.473,0.483,0.008,0.352,0.351,0.012
"2009",0.473,0.48,0.008,0.356,0.359,0.017
"2011",0.478,0.476,0.006,0.352,0.347,0.008
"2013",0.485,0.485,0.006,0.362,0.361,0.009
"2015",0.476,0.479,0.006,0.348,0.345,0.011
"2017",0.471,0.482,0.006,0.345,0.348,0.01
"2019",0.477,0.489,0.005,0.342,0.337,0.007
"2021",0.496,0.505,0.01,0.351,0.341,0.01
