"year","r_hh_u_inc_black","r_hh_u_inc_nonblack","r_hh_w_inc_black","r_hh_w_inc_black_se","r_hh_w_inc_nonblack","r_hh_w_inc_nonblack_se","r_cl_u_inc_median_black","r_cl_u_inc_median_nonblack","r_cl_u_inc_mean_black","r_cl_u_inc_mean_nonblack","r_cl_w_inc_mean_black","r_cl_w_inc_mean_black_se","r_cl_w_inc_mean_nonblack","r_cl_w_inc_mean_nonblack_se"
"ALL",0.429,0.401,0.442,0.013,0.418,0.009,0.319,0.293,0.292,0.291,0.306,0.018,0.297,0.011
"1969",0.375,0.383,0.387,0.037,0.382,0.014,0.287,0.282,0.283,0.282,0.352,0.03,0.286,0.016
"1970",0.383,0.355,0.431,0.024,0.361,0.01,0.301,0.259,0.294,0.259,0.357,0.029,0.258,0.012
"1971",0.376,0.355,0.413,0.016,0.362,0.01,0.287,0.257,0.279,0.252,0.319,0.02,0.245,0.011
"1972",0.371,0.351,0.378,0.014,0.36,0.009,0.274,0.262,0.268,0.255,0.284,0.018,0.249,0.011
"1973",0.362,0.349,0.384,0.016,0.357,0.009,0.266,0.262,0.256,0.249,0.273,0.014,0.244,0.009
"1974",0.376,0.351,0.408,0.013,0.363,0.01,0.28,0.262,0.262,0.25,0.279,0.02,0.247,0.01
"1975",0.368,0.355,0.392,0.013,0.366,0.008,0.278,0.269,0.262,0.263,0.28,0.014,0.258,0.008
"1976",0.373,0.35,0.405,0.012,0.364,0.008,0.285,0.262,0.27,0.254,0.292,0.017,0.251,0.008
"1977",0.397,0.358,0.413,0.014,0.369,0.008,0.308,0.269,0.29,0.262,0.317,0.019,0.257,0.009
"1978",0.398,0.349,0.418,0.013,0.362,0.007,0.301,0.262,0.283,0.254,0.309,0.015,0.25,0.006
"1979",0.395,0.347,0.41,0.012,0.365,0.006,0.297,0.259,0.273,0.25,0.291,0.012,0.251,0.006
"1980",0.392,0.356,0.406,0.01,0.375,0.007,0.297,0.256,0.277,0.247,0.291,0.013,0.251,0.007
"1981",0.396,0.377,0.404,0.012,0.4,0.015,0.296,0.268,0.272,0.267,0.283,0.015,0.268,0.011
"1982",0.413,0.368,0.43,0.014,0.385,0.007,0.309,0.272,0.28,0.262,0.307,0.016,0.262,0.008
"1983",0.429,0.37,0.443,0.012,0.384,0.006,0.319,0.276,0.288,0.267,0.308,0.023,0.267,0.006
"1984",0.44,0.375,0.448,0.013,0.389,0.007,0.332,0.277,0.303,0.273,0.314,0.02,0.275,0.006
"1985",0.443,0.376,0.458,0.013,0.391,0.009,0.341,0.272,0.307,0.27,0.324,0.022,0.272,0.008
"1986",0.443,0.381,0.469,0.015,0.401,0.008,0.34,0.278,0.311,0.276,0.329,0.022,0.284,0.009
"1987",0.44,0.383,0.454,0.013,0.406,0.01,0.337,0.284,0.301,0.28,0.32,0.017,0.292,0.012
"1988",0.442,0.394,0.451,0.012,0.419,0.014,0.334,0.293,0.309,0.293,0.321,0.017,0.309,0.021
"1989",0.445,0.395,0.455,0.014,0.423,0.013,0.332,0.294,0.305,0.296,0.325,0.022,0.311,0.02
"1990",0.45,0.401,0.451,0.012,0.425,0.012,0.334,0.297,0.304,0.299,0.313,0.017,0.31,0.015
"1991",0.451,0.399,0.458,0.013,0.417,0.007,0.345,0.294,0.308,0.294,0.304,0.022,0.302,0.009
"1992",0.459,0.408,0.451,0.011,0.427,0.01,0.343,0.291,0.308,0.294,0.292,0.019,0.304,0.012
"1993",0.477,0.419,0.477,0.008,0.433,0.006,0.345,0.312,0.3,0.303,0.297,0.015,0.309,0.007
"1994",0.486,0.441,0.486,0.01,0.458,0.008,0.344,0.314,0.314,0.32,0.316,0.021,0.336,0.014
"1995",0.477,0.437,0.476,0.012,0.457,0.01,0.34,0.311,0.302,0.322,0.302,0.018,0.33,0.011
"1996",0.466,0.427,0.463,0.011,0.445,0.006,0.336,0.308,0.3,0.316,0.298,0.017,0.323,0.01
"1997",0.444,0.422,0.444,0.014,0.437,0.007,0.335,0.302,0.304,0.302,0.281,0.017,0.311,0.009
"1999",0.431,0.433,0.457,0.02,0.451,0.009,0.322,0.317,0.294,0.318,0.306,0.02,0.331,0.014
"2001",0.44,0.453,0.432,0.012,0.472,0.011,0.322,0.333,0.289,0.342,0.286,0.015,0.351,0.012
"2003",0.432,0.438,0.435,0.012,0.455,0.008,0.305,0.321,0.276,0.323,0.283,0.016,0.33,0.011
"2005",0.444,0.455,0.46,0.013,0.483,0.017,0.319,0.329,0.287,0.335,0.306,0.023,0.341,0.014
"2007",0.446,0.452,0.458,0.012,0.475,0.009,0.327,0.33,0.292,0.332,0.311,0.016,0.34,0.013
"2009",0.444,0.453,0.453,0.011,0.472,0.009,0.314,0.338,0.279,0.341,0.289,0.02,0.35,0.018
"2011",0.466,0.451,0.471,0.015,0.466,0.007,0.34,0.322,0.304,0.33,0.311,0.017,0.337,0.009
"2013",0.471,0.455,0.466,0.008,0.475,0.007,0.347,0.326,0.309,0.339,0.304,0.014,0.353,0.01
"2015",0.468,0.442,0.479,0.009,0.466,0.006,0.354,0.319,0.311,0.316,0.336,0.016,0.332,0.013
"2017",0.45,0.445,0.476,0.01,0.471,0.007,0.319,0.322,0.287,0.321,0.308,0.02,0.338,0.012
"2019",0.459,0.453,0.479,0.016,0.479,0.005,0.328,0.323,0.297,0.321,0.319,0.02,0.329,0.008
"2021",0.485,0.467,0.495,0.012,0.495,0.011,0.345,0.325,0.319,0.321,0.323,0.018,0.331,0.011
